	Kingdom	Phylum	Class	Order	Family	Genus	Species
c0a8738c9b4d7d78a80dde20f7d96477	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured	Unclassified
aa139e9dedced488dfa2cabb81fe3452	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Unclassified	Unclassified
ab83f39d249e07a8dd0924b08781a29f	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	Unclassified
b7f5af401f678ffbe9f7299cfa59e3bf	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	Unclassified
fa7ddc34a8ab04942192b85d107bd9f9	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	uncultured_Chloroflexus
a8529ebb479dc6005d616591b348fd03	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_bacterium
4fd9b2cd712d351c7db4b7a89183c3a8	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_Conexibacter
701f2951e46b04ff40511332ac0a2d6b	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Unclassified	Unclassified
99464e82c2b047057244d7772133f71e	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	Unclassified
6330b2c1dcf6cf6a03b897035f7abf61	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	Unclassified
3b51de99cf3e9d51e75c66b48d9d2a50	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	metagenome
